date,hypothesis,verdict
2026-07-20,horizon_h5_vs_h1,finding: signal peaks at h=5
2026-07-20,horizon_h20_vs_h1,finding: costs amortize at h=20
2026-07-20,vol_ext_factor,rejected: virgin-negative (regime luck)
2026-07-21,news_factor_h5,"passed h5, not adopted (prod is h20)"
2026-07-21,news_factor_h20,rejected: zero IC at prod horizon
2026-07-30,label_demarket,rejected: redundant w/ per-date zscore
2026-07-30,label_debeta,rejected: beta estimation noise
2026-07-30,label_volscale,rejected: double-counts vol sizing
2026-07-30,ivol_position_sizing,ADOPTED: holdout-robust
2026-08-09,pead_factor,rejected: fresh tier voted no
2026-08-10,member_universe_filter,ADOPTED: dev IC doubles
2026-08-10,optimizer_v1,rejected: turnover mismatch
2026-08-10,factor_amihud,rejected: sign-oscillator (virgin + / holdout & fresh -)
2026-08-10,factor_reversal,rejected: sign-oscillator (recent-regime only)
2026-08-10,factor_high52,"CONDITIONALLY ADOPTED 2026-08-10: dev rule passed (blend 0.013->0.031), family-t 2.88 < 2.93 bar; removal trigger = negative fresh tier at ~2026-11 review"
2026-08-10,factor_seasonal,"rejected: dev harm; fresh spike = one seasonal month, ~2 indep obs"
2026-08-10,factor_value,"rejected: no tier significant, fresh -0.041; value dead at 20d as pre-discounted"
2026-08-10,factor_profitability,rejected: standalone ~0 everywhere; dev blend gain without any standalone signal = weighting shuffle
2026-08-10,factor_investment,"rejected: virgin +0.025(t=2.3) but fresh -0.036(t=-3.3) -- sign oscillator, newest window vetoes"
2026-08-10,factor_accruals,"closest miss: dev blend 0.013->0.024, fresh alone +0.039(t=2.86<2.97 bar), no negative tier; WATCH-LIST -> re-examine at 2026-11 review"
2026-08-12,vol_target_overlay,"rejected (pre-registered): 12% target/120d factor-cov forecast/cap 1.0 new-tranche scaling cut dev vol 17.0->14.5 and maxDD -23.0->-21.3 but cost Sharpe 0.75->0.63 (band 0.05); holdout confirmed damage 1.39->1.26 -- long-biased book earns its returns in high-vol recoveries, vol timing sells them"
2026-08-25,survivorship_complete_universe,"finding (measurement correction, pre-registered): Sharadar histories for 261/261 S&P members departed 2014+ added to the panel; PIT-masked h20 blended IC dev 0.0267->0.0187 (-30%), holdout 0.0520->0.0377 (-27%), virgin -0.005->+0.009; survivorship had inflated the ruler ~30%; surv panel is now the evaluation standard"
2026-08-25,construction_grid_corrected_ruler,"no change (pre-registered grid rerun on surv): 50/50 neutral reverses old verdict (cuts dev maxDD -32%->-18%, Sharpe mixed across widths, not deployable under 25% short cap); 75/25 capped-neutral REJECTED by attribution -- Sharpe 0.42/1.45 is beta 0.46 harvest, selection falls +3.0%->+1.2%/yr (IR 0.30->0.13); width 30/50 within noise; raw top-10 ivol stays"
2026-08-26,full_breadth_universe,"finding (breadth lever, pre-registered vs surv): adding the 233 current S&P members the yfinance panel never had (715 PIT symbols) did NOT preserve blended IC -- dev 0.0187->0.0049, holdout 0.0377->0.0354; factor card shows the blend fails to transfer while high52 alone strengthens (dev .032/holdout .043, mono .96, net spread +0.57%/20d, first factor to pass the Sidak gate). Breadth helps a real factor and dilutes weighting noise; follow-up: factor-concentration test (high52-only book) on surv and full"
2026-08-26,full_breadth_universe_501,"rejected (pre-registered breadth test on the corrected ruler): adding the 233 current S&P members the yfinance panel lacked (268->501 names, Sharadar) cut PIT-masked blended IC dev 0.0187->0.0049 (t 0.39), holdout 0.0377->0.0354; book Sharpe dev n10 0.22->0.14, n30 0.31->0.09 (holdout n10 0.85->1.58, single window, not decisive); breadth without rankable signal dilutes -- universe stays 268"
2026-08-26,factor_concentration_high52_only,"rejected (pre-registered follow-up to the factor card): high52-only book vs 7-factor blend, same construction grid. surv panel: dev Sharpe 0.37-0.46 vs 0.22-0.36 but holdout NEGATIVE (-0.18..-0.63 vs 0.61-0.85) -- the blend holdout is carried by volatility, dev by high52; the blend diversifies across regimes. full panel: h52-only dev 0.25-0.30 / holdout 0.87-1.09 vs blend 0.05-0.14 / 0.98-1.58 -- competitive, logged as a WATCH item for the November review (single holdout window). No production change"
2026-09-02,rulebook_v2_two_track,"finding (rule change, pre-registered before any agent-mined candidate existed): track A literature-backed hypotheses keep the Sidak family-wise 5% bar on two-sided holdout t (family = non-finding ledger rows, now the single definition for factor_card and factor_pipeline); track B agent/data-mined candidates get their own family (results/mined_candidates.csv, full-stage only) under Benjamini-Hochberg FDR q=0.10 on one-sided holdout p in a direction declared before evaluation, plus dev blend gain > 0, holdout >= 120 sessions, and the negative-tier veto (fresh needs >= 60 sessions); agent sees seen_dev only. Spec: evaluation/RULEBOOK.md; code: evaluation/rulebook.py"
2026-09-14,selection_smoothing_5d,"STAYS (adjudicated 2026-09-14, production_replay_h20_surv.json): removing the 5-session smoothing (raw vs smooth, surv panel h20 top-10/ivol/15bp) moves dev Sharpe 0.21->0.22, holdout 0.81->0.85, IC 0.0153 both, maxDD -30.6%->-32.2%; attribution near-identical (selection dev +1.8%->+2.4%, holdout +8.8%->+7.4%, beta ~0). Neither removal clause triggers (dev +0.01 < 0.05; IC unchanged). Neutral step; stays because production has it and the evaluation now replays it."
